date,jdobs,filter,absmag,magpsf,sigmamagpsf,limmag,instrument,programid,reducedby,refsys,issub,isdiffpos
"2018 Apr 21",2458229.8781,"r", 99.0, 99.0,99.0, 20.41,"P48+ZTF","1","None","None",True,False
"2018 Apr 21",2458229.8781,"r", 99.0, 99.0,99.0, 20.41,"P48+ZTF","1","None","None",True,True
"2018 Apr 24",2458232.8567,"r", 99.0, 99.0,99.0, 19.89,"P48+ZTF","1","None","None",True,False
"2018 Apr 24",2458232.8567,"r", 99.0, 99.0,99.0, 19.89,"P48+ZTF","1","None","None",True,True
"2018 May 05",2458243.7957,"r", 99.0, 99.0,99.0, 20.21,"P48+ZTF","1","None","None",True,False
"2018 May 05",2458243.7957,"r", 99.0, 99.0,99.0, 20.21,"P48+ZTF","1","None","None",True,True
"2018 May 05",2458243.7957,"r", -26.85, 18.88,0.06, 20.21,"P48+ZTF","1","None","None",True,True
"2018 May 08",2458246.7532,"r", 99.0, 99.0,99.0, 19.96,"P48+ZTF","1","None","None",True,False
"2018 May 08",2458246.7532,"r", 99.0, 99.0,99.0, 19.96,"P48+ZTF","1","None","None",True,True
"2018 May 08",2458246.7532,"r", -27.77, 17.96,0.03, 19.96,"P48+ZTF","1","None","None",True,True
"2018 May 11",2458249.7744,"r", -27.88, 17.85,0.04, 19.84,"P48+ZTF","1","None","None",True,True
"2018 May 17",2458255.7931,"r", 99.0, 99.0,99.0, 20.17,"P48+ZTF","1","None","None",True,False
"2018 May 17",2458255.7931,"r", 99.0, 99.0,99.0, 20.17,"P48+ZTF","1","None","None",True,True
"2018 May 20",2458258.7520,"r", -26.25, 19.48,0.12, 20.33,"P48+ZTF","1","None","None",True,False
"2018 May 29",2458267.8154,"r", 99.0, 99.0,99.0, 18.37,"P48+ZTF","1","None","None",True,False
"2018 May 29",2458267.8154,"r", 99.0, 99.0,99.0, 18.37,"P48+ZTF","1","None","None",True,True
"2018 Jun 01",2458270.7990,"r", 99.0, 99.0,99.0, 19.82,"P48+ZTF","1","None","None",True,False
"2018 Jun 01",2458270.7990,"r", 99.0, 99.0,99.0, 19.82,"P48+ZTF","1","None","None",True,True
"2018 Jun 04",2458273.8166,"r", 99.0, 99.0,99.0, 20.36,"P48+ZTF","1","None","None",True,False
"2018 Jun 04",2458273.8166,"r", 99.0, 99.0,99.0, 20.36,"P48+ZTF","1","None","None",True,True
"2018 Jun 07",2458276.7756,"r", 99.0, 99.0,99.0, 20.68,"P48+ZTF","1","None","None",True,False
"2018 Jun 07",2458276.7756,"r", 99.0, 99.0,99.0, 20.68,"P48+ZTF","1","None","None",True,True
"2018 Jun 10",2458279.7531,"r", -27.28, 18.45,0.04, 20.66,"P48+ZTF","1","None","None",True,True
"2018 Jun 13",2458282.7103,"r", -27.35, 18.38,0.04, 20.60,"P48+ZTF","1","None","None",True,True
"2018 Jun 16",2458285.6929,"r", 99.0, 99.0,99.0, 17.35,"P48+ZTF","1","None","None",True,False
"2018 Jun 16",2458285.6929,"r", 99.0, 99.0,99.0, 17.35,"P48+ZTF","1","None","None",True,True
"2018 Jun 19",2458288.7540,"r", -26.27, 19.46,0.32, 20.46,"P48+ZTF","1","None","None",True,False
"2018 Jun 22",2458291.7352,"r", -27.01, 18.72,0.12, 19.76,"P48+ZTF","1","None","None",True,False
"2018 Jun 28",2458297.7900,"r", 99.0, 99.0,99.0, 19.26,"P48+ZTF","1","None","None",True,False
"2018 Jun 28",2458297.7900,"r", 99.0, 99.0,99.0, 19.26,"P48+ZTF","1","None","None",True,True
"2018 Jul 01",2458300.6741,"r", -26.99, 18.74,0.12, 19.96,"P48+ZTF","1","None","None",True,True
"2018 Jul 04",2458303.6737,"r", -26.89, 18.84,0.15, 20.18,"P48+ZTF","1","None","None",True,True
"2018 Jul 07",2458306.6911,"r", -26.94, 18.79,0.19, 20.28,"P48+ZTF","1","None","None",True,True
"2018 Jul 13",2458312.6911,"r", -27.30, 18.43,0.12, 20.26,"P48+ZTF","1","None","None",True,True
"2018 Jul 16",2458315.7358,"r", 99.0, 99.0,99.0, 19.40,"P48+ZTF","1","None","None",True,False
"2018 Jul 16",2458315.7358,"r", 99.0, 99.0,99.0, 19.40,"P48+ZTF","1","None","None",True,True
"2018 Jul 29",2458328.7156,"r", -27.48, 18.25,0.05, 20.38,"P48+ZTF","2","None","None",True,False
"2018 Jul 29",2458328.7694,"r", -27.36, 18.37,0.10, 19.64,"P48+ZTF","2","None","None",True,False
"2018 Jul 29",2458328.7809,"r", -27.53, 18.20,0.19, 18.53,"P48+ZTF","1","None","None",True,False
"2018 Aug 01",2458331.6875,"r", -27.38, 18.35,0.08, 20.22,"P48+ZTF","1","None","None",True,False
"2018 Aug 01",2458331.7733,"g", -26.97, 18.76,0.17, 19.24,"P48+ZTF","1","None","None",True,False
"2018 Aug 04",2458334.6765,"g", -27.08, 18.65,0.09, 20.63,"P48+ZTF","1","None","None",True,False
"2018 Aug 07",2458337.6829,"g", -27.20, 18.53,0.07, 20.67,"P48+ZTF","1","None","None",True,False
"2018 Aug 14",2458344.6796,"r", -27.72, 18.01,0.07, 20.10,"P48+ZTF","1","None","None",True,False
"2018 Aug 17",2458347.6988,"g", -27.29, 18.44,0.13, 19.70,"P48+ZTF","1","None","None",True,False
"2018 Sep 02",2458363.6560,"g", -26.87, 18.86,0.12, 20.04,"P48+ZTF","1","None","None",True,False
"2018 Dec 09",2458462.0514,"r", -27.25, 18.48,0.11, 19.53,"P48+ZTF","2","None","None",True,True
"2018 Dec 09",2458462.0562,"r", -27.33, 18.40,0.12, 19.51,"P48+ZTF","2","None","None",True,True
"2018 Dec 09",2458462.0609,"r", -27.15, 18.58,0.10, 19.46,"P48+ZTF","2","None","None",True,True
"2018 Dec 09",2458462.0656,"r", -27.20, 18.53,0.16, 18.93,"P48+ZTF","2","None","None",True,True
"2018 Dec 12",2458465.0534,"r", -27.66, 18.07,0.08, 19.67,"P48+ZTF","2","None","None",True,True
"2018 Dec 12",2458465.0583,"r", -27.68, 18.05,0.11, 18.94,"P48+ZTF","2","None","None",True,True
"2018 Dec 12",2458465.0631,"r", -27.50, 18.23,0.12, 19.10,"P48+ZTF","2","None","None",True,True
"2018 Dec 12",2458465.0680,"r", -27.44, 18.28,0.25, 18.16,"P48+ZTF","2","None","None",True,True
"2018 Dec 13",2458466.0558,"r", -27.65, 18.07,0.09, 19.56,"P48+ZTF","2","None","None",True,True
"2018 Dec 13",2458466.0607,"r", -27.68, 18.05,0.12, 19.43,"P48+ZTF","2","None","None",True,True
"2018 Dec 13",2458466.0656,"r", -27.70, 18.03,0.08, 19.25,"P48+ZTF","2","None","None",True,True
"2018 Dec 13",2458466.0705,"r", -27.68, 18.05,0.11, 18.80,"P48+ZTF","2","None","None",True,True
"2018 Dec 15",2458468.0565,"r", -27.21, 18.52,0.09, 20.18,"P48+ZTF","2","None","None",True,True
"2018 Dec 16",2458469.0587,"r", -27.05, 18.68,0.12, 20.06,"P48+ZTF","2","None","None",True,True
"2018 Dec 16",2458469.0635,"r", 99.0, 99.0,99.0, 20.04,"P48+ZTF","2","None","None",True,False
"2018 Dec 16",2458469.0635,"r", 99.0, 99.0,99.0, 20.04,"P48+ZTF","2","None","None",True,True
