,sigma,sigma.err,ampl,ampl.err,fval,chi2,chi2dof,filename,humidity,filter,obsmjd,ccdid,amp_id,gain,readnoi,darkcur,magzp,magzpunc,magzprms,clrcoeff,clrcounc,zpclrcov,zpmed,zpavg,zprmsall,clrmed,clravg,clrrms,qid,rcid,seeing,maglim,status,filterid,fieldid,moonalt,moonillf,target_x,target_y,data_hasnan,F0,F0.err,Fratio,Fratio.err,upper_limit,mag,mag_err
0,22.202117780006148,0.6329779692968148,-293.01716471526424,119.68178353083984,5648.699048105235,623.527099609375,1.000846066788724,ztf_20180402388900_000531_zg_c08_o.fits,28.0,ZTF g,58210.3889005,8,2,6.2,10.0,1.0,26.128691,6.37001e-05,0.043437,-0.036746,0.0002069332,-0.00010673,26.109501,26.109739,0.044081999999999996,0.45799999999999996,0.516,0.20451,3,30,2.7,19.13,1,1,531,47.3069,-0.9597620000000001,440.51002241505546,1030.1584999620397,False,28279804315.64161,1659174.9957238531,-1.0361357576763568e-08,4.2320584481321376e-09,19.13,99.0,99.0
1,14.686951087826571,0.4242058886356221,-102.59193420442533,79.99207265813799,5132.3339267918955,623.7427978515625,1.0011922918965692,ztf_20180406393958_000531_zi_c08_o.fits,16.0,ZTF_i,58214.3939699,8,2,6.2,10.0,1.0,22.297975,0.0008858874,0.030386,0.014518000000000001,0.0083851849,-0.00254176,22.2995,22.302376000000002,0.030433999999999996,0.242,0.303,0.11732200000000001,3,30,2.785,15.99,1,3,531,20.403,-0.679438,438.3388403347281,1052.8325935197715,False,830213899.3233817,677398.4596740007,-1.2357289403132977e-07,9.635121324960243e-08,15.99,99.0,99.0
2,5.331066415646321,0.14962081699293445,-442.97033162347486,31.081227671923262,3847.0762968582953,620.9375610351562,0.9966895040692716,ztf_20180409397616_000531_zr_c08_o.fits,20.0,ZTF_r,58217.39795140001,8,2,6.2,10.0,1.0,26.191797,7.0189e-06,0.026272000000000004,0.114349,1.21545e-05,-8.37e-06,26.259001,26.270526,0.045197,0.5720000000000001,0.6890000000000001,0.32162199999999996,3,30,2.6260000000000003,21.19,1,2,531,-2.64843,-0.399372,440.1242139690645,1091.2997903984826,True,29972212290.089767,193759.73640832567,-1.4779367213074954e-08,1.0370014566499042e-09,21.19,99.0,99.0
3,6.176986581477838,0.17616662174842934,-603.5063680050092,42.048634983053724,4036.656447783968,621.827880859375,0.99811858885935,ztf_20180409451019_000531_zr_c08_o.fits,21.0,ZTF_r,58217.451018499996,8,2,6.2,10.0,1.0,26.180464,7.4266999999999996e-06,0.026931,0.12013,1.28244e-05,-8.85e-06,26.252001,26.263384999999996,0.046974,0.578,0.69,0.320376,3,30,2.42,20.98,1,2,531,11.1917,-0.394415,449.05909970649793,1094.6043120102079,True,29660987100.356438,202888.37374386887,-2.0346806596930715e-08,1.4176411271622282e-09,20.98,99.0,99.0
4,5.683216644477834,0.1625599456111267,-440.3197012887696,27.765591224659406,3945.5932151971724,623.9424438476562,1.0015127509593198,ztf_20180410426632_000531_zr_c08_o.fits,11.0,ZTF_r,58218.42666669999,8,2,6.2,10.0,1.0,26.158179,8.334500000000001e-06,0.028388,0.116423,1.4431199999999998e-05,-9.95e-06,26.228001000000003,26.238424,0.046848,0.578,0.6890000000000001,0.320101,3,30,2.716,21.02,1,2,531,-2.5638799999999997,-0.30539099999999997,442.9428219609273,1063.067748949774,False,29058393462.873165,223062.63644424448,-1.5152926532271983e-08,9.555102027877155e-10,21.02,99.0,99.0
5,6.4483309969315705,0.18406158826194652,-496.7222679490061,39.71425887418285,4103.458216253954,623.9011840820312,1.0014465234061496,ztf_20180411419225_000531_zr_c08_o.fits,11.0,ZTF_r,58219.419236099995,8,2,6.2,10.0,1.0,26.187307,1.23784e-05,0.032126999999999996,0.128801,2.10146e-05,-1.462e-05,26.266001,26.276901000000002,0.052697,0.595,0.696,0.324304,3,30,4.262,20.59,1,2,531,-12.27,-0.220313,444.01090399429785,1054.7700455082656,False,29848519857.537437,340300.817625263,-1.664143717409734e-08,1.3305269228591724e-09,20.59,99.0,99.0
6,6.483984411816201,0.18100779212475446,-434.54078748378686,36.27760754234855,4110.136688951121,623.6853637695312,1.0011001023587982,ztf_20180414414329_000531_zr_c08_o.fits,12.0,ZTF_r,58222.4143287,8,2,6.2,10.0,1.0,26.166229,8.5148e-06,0.028883999999999996,0.117751,1.47213e-05,-1.015e-05,26.237,26.247429999999998,0.047544,0.574,0.69,0.320708,3,30,2.9930000000000003,20.68,1,2,531,-34.6483,-0.0323494,449.34059813862666,1082.517788417162,False,29274642486.433323,229584.05987669175,-1.4843589898157255e-08,1.2392160798965945e-09,20.68,99.0,99.0
7,9.139389223072543,0.258189746787731,-480.8583880043808,49.258898300665464,4539.40227849274,623.80126953125,1.0012861469201444,ztf_20180414512801_000531_zr_c08_o.fits,13.0,ZTF_r,58222.5128125,8,2,6.2,10.0,1.0,26.125725,1.1578e-05,0.033426,0.121689,2.01105e-05,-1.384e-05,26.198,26.209469,0.05127999999999999,0.5760000000000001,0.688,0.319576,3,30,2.772,20.26,1,2,531,-6.62661,-0.0287176,452.11639890827837,1062.6574205679533,False,28202655340.40117,300745.56057003385,-1.7050110431110236e-08,1.7466049906653355e-09,20.26,99.0,99.0
8,5.618378736822544,0.1592536234332671,-233.0636544883152,26.74905655100068,3931.3011974853353,623.9876708984375,1.0015853465464486,ztf_20180418355278_000531_zr_c08_o.fits,24.0,ZTF_r,58226.3552778,8,2,6.2,10.0,1.0,26.183129,7.0228e-06,0.026251,0.11349100000000001,1.21556e-05,-8.37e-06,26.250999,26.261288,0.044962,0.5720000000000001,0.6890000000000001,0.32163800000000003,3,30,2.517,21.15,1,2,531,-39.0307,0.065522,439.17299865149016,1084.8819292430908,False,29733881070.139156,192325.81456182647,-7.838319321266608e-09,8.996153758193299e-10,21.15,99.0,99.0
9,5.784864465923488,0.16058930810074462,-179.46754047290833,31.313849646144728,3967.5899939012825,623.8214111328125,1.0013184769387038,ztf_20180418376551_000531_zr_c08_o.fits,23.0,ZTF_r,58226.3765625,8,2,6.2,10.0,1.0,26.183395,7.9839e-06,0.027936000000000002,0.12106900000000001,1.3790799999999998e-05,-9.52e-06,26.256001,26.266927000000003,0.047839,0.5760000000000001,0.69,0.320765,3,30,2.9330000000000003,20.83,1,2,531,-41.0165,0.06673539999999999,445.10330592621307,1084.9036670601545,False,29741166616.35938,218699.99278622997,-6.034314080140713e-09,1.0528789969096029e-09,20.83,99.0,99.0
