date,jdobs,filter,absmag,magpsf,sigmamagpsf,limmag,instrument,programid,reducedby,refsys,issub,isdiffpos
"2020 Apr 25",2458964.9227,"r", 99.0, 99.0,99.0, 20.72,"P48+ZTF","1","None","None",True,True
"2020 Apr 28",2458967.8830,"r", 99.0, 99.0,99.0, 20.60,"P48+ZTF","1","None","None",True,True
"2020 Apr 28",2458967.9362,"g", 99.0, 99.0,99.0, 20.79,"P48+ZTF","1","None","None",True,True
"2020 May 01",2458970.9143,"r", 99.0, 99.0,99.0, 20.72,"P48+ZTF","1","None","None",True,True
"2020 May 01",2458970.9645,"g", 99.0, 99.0,99.0, 20.98,"P48+ZTF","1","None","None",True,True
"2020 May 04",2458973.8539,"r", 99.0, 99.0,99.0, 19.96,"P48+ZTF","1","None","None",True,True
"2020 May 04",2458973.9641,"g", 99.0, 99.0,99.0, 20.37,"P48+ZTF","1","None","None",True,True
"2020 May 08",2458977.8726,"g", 99.0, 99.0,99.0, 18.19,"P48+ZTF","1","None","None",True,True
"2020 May 08",2458977.8986,"r", 99.0, 99.0,99.0, 18.77,"P48+ZTF","1","None","None",True,True
"2020 May 11",2458980.8143,"r", 99.0, 99.0,99.0, 20.19,"P48+ZTF","1","None","None",True,True
"2020 May 11",2458980.8985,"g", 99.0, 99.0,99.0, 19.86,"P48+ZTF","1","None","None",True,True
"2020 May 15",2458984.9020,"r", 99.0, 99.0,99.0, 20.75,"P48+ZTF","1","None","None",True,True
"2020 May 16",2458985.8781,"r", 99.0, 99.0,99.0, 20.72,"P48+ZTF","1","None","None",True,True
"2020 May 16",2458985.9210,"g", 99.0, 99.0,99.0, 20.72,"P48+ZTF","1","None","None",True,True
"2020 May 17",2458986.7951,"r", 99.0, 99.0,99.0, 20.75,"P48+ZTF","1","None","None",True,True
"2020 May 17",2458986.8966,"g", 99.0, 99.0,99.0, 20.85,"P48+ZTF","1","None","None",True,True
"2020 May 18",2458987.8314,"r", 99.0, 99.0,99.0, 20.89,"P48+ZTF","1","None","None",True,True
"2020 May 18",2458987.9299,"g", 99.0, 99.0,99.0, 21.00,"P48+ZTF","1","None","None",True,True
"2020 May 22",2458991.7730,"r", 99.0, 99.0,99.0, 20.61,"P48+ZTF","1","None","None",True,True
"2020 May 22",2458991.8187,"g", 99.0, 99.0,99.0, 20.74,"P48+ZTF","1","None","None",True,True
"2020 May 23",2458992.7940,"r", 99.0, 99.0,99.0, 20.71,"P48+ZTF","1","None","None",True,True
"2020 May 23",2458992.8329,"g", 99.0, 99.0,99.0, 20.62,"P48+ZTF","1","None","None",True,True
"2020 May 25",2458994.9150,"g", -16.14, 19.61,0.14, 20.74,"P48+ZTF","1","None","None",True,True
"2020 May 26",2458995.7751,"r", -16.14, 19.60,0.13, 20.73,"P48+ZTF","1","None","None",True,True
"2020 May 26",2458995.8201,"g", -16.41, 19.33,0.10, 20.80,"P48+ZTF","1","None","None",True,True
"2020 May 27",2458996.8102,"r", -16.38, 19.37,0.13, 20.71,"P48+ZTF","1","None","None",True,True
"2020 May 28",2458997.7985,"r", -16.51, 19.23,0.11, 20.78,"P48+ZTF","1","None","None",True,True
"2020 May 28",2458997.8164,"i", -16.35, 19.40,0.12, 20.13,"P48+ZTF","2","None","None",True,True
"2020 May 28",2458997.8830,"g", -16.49, 19.26,0.10, 20.86,"P48+ZTF","1","None","None",True,True
"2020 May 29",2458998.8626,"g", -16.62, 19.13,0.10, 20.93,"P48+ZTF","1","None","None",True,True
