# ------------------------------------------------------------------
# Generated by forcedphotometry_trim.pl, v3.6 on 2021-08-24 at 02:53:39
#
# Requested input R.A. = 148.7828409233099 degrees
# Requested input Dec. = 35.8502501188766 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2459451 days
# Authenticated program IDs = 1, 2
#
# Column definitions:
# index = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (0..3)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Rerence image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, see accompanying log file and document link below
#
# Documentation: https://zwicky.tf/vgt
#
# ------------------------------------------------------------------
# Order of columns below:
 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 667 15 3 ZTF_g 448257045915 0 2.4741 96.3035 8.17353 26.3439 1.78937e-05 0.0335585 -0.0272839 2.7625e-05 403 30. 0.063498 0.057093 20.2229 26.3439 1 2458202.7570486 667120159 14.2160882799137 39.1341881801026 0.4040904472514 0.962780503802052 11.6596260688716 63.0128364409955 0.186281954348657 1.09974019842219 0.217247605542328 19.8459999084473 0.025000000372529 0.816999971866608 0.0439999997615814 2458166.757685 2458428.028090 0
 1 667 15 3 ZTF_g 451393315915 0 3.3073 76.8064 22.3257 26.1388 7.49675e-05 0.0419943 -0.0670747 0.000161018 175 30. 0.086435 0.085906 18.507 26.1388 1 2458205.8933102 667120159 43.4979685371692 133.458023061724 0.36255933250212 1.02453783643629 -157.043703711676 190.945197009097 -0.827993605328217 1.08290809402466 0.217247605542328 19.8459999084473 0.025000000372529 0.816999971866608 0.0439999997615814 2458166.757685 2458428.028090 0
 2 667 15 3 ZTF_g 451399825915 1 3.6797 46.7227 29.8635 25.5549 0.000339472 0.0441924 -0.00509463 0.000906968 59 30. 0.116274 0.084286 17.5149 25.5549 1 2458205.8998264 667120159 -146.52428050448 191.630192848067 -0.850551200573746 1.11886283296965 234.81576284577 254.152882772148 0.930138025349782 1.12280022620988 0.217247605542328 19.8459999084473 0.025000000372529 0.816999971866608 0.0439999997615814 2458166.757685 2458428.028090 0
 3 667 15 3 ZTF_g 454233255915 33 1.9333 22.292 34.9783 24.7066 0.000559712 0.038857 -0.0267693 0.00175272 41 30. 0.066143 0.050711 17.0437 24.7066 1 2458208.7332523 667120159 88.2185801489917 173.388428374167 0.565971750492627 0.96602243913282 197.859014855955 311.94133332365 0.638554707010059 1.0831813238795 0.217247605542328 19.8459999084473 0.025000000372529 0.816999971866608 0.0439999997615814 2458166.757685 2458428.028090 0
 4 667 15 3 ZTF_g 454262935915 1 1.8375 21.9644 35.4058 24.944 0.000325083 0.0459659 -0.0323643 0.00076143 65 30. 0.061408 0.05695 17.2923 24.944 1 2458208.7629398 667120159 -90.5357822956904 161.537636445609 -0.62344957826362 1.07027298680877 -95.9779586767955 294.412362300579 -0.328194016703411 1.08109370090524 0.217247605542328 19.8459999084473 0.025000000372529 0.816999971866608 0.0439999997615814 2458166.757685 2458428.028090 0
 5 667 15 3 ZTF_r 460185355915 48 1.9626 7.76318 11.5963 22.9185 0.000876358 0.0882814 0.134474 0.00152666 78 30. 0.0733 0.060119 16.3896 22.9185 1 2458214.6853588 667120259 1.75497142949674 54.9386236808171 0.0355342436967069 1.0309239239451 27.2506804083755 99.5313850516296 0.275633814344696 1.08630187880997 0.141166208057232 19.3689998626709 0.0240000002086163 1.27100002765656 0.0260000005364418 2458154.777546 2458184.791562 0
 6 667 15 3 ZTF_r 460202715915 0 2.0323 169.124 20.455 25.4153 2.76285e-05 0.0421982 0.117091 3.8999e-05 429 30. 0.066862 0.055966 19.1472 26.275 1 2458214.7027199 667120259 78.5407707517165 88.9990933202382 0.981667419969158 1.02770503751228 81.4386899463049 159.250903726581 0.514830260237802 1.04956393593434 0.141166208057232 19.3689998626709 0.0240000002086163 1.27100002765656 0.0260000005364418 2458154.777546 2458184.791562 0
 7 667 15 3 ZTF_i 460361975915 32 3.1296 60.2889 11.0881 23.8898 5.51728e-05 0.0577404 0.186915 0.000184358 163 30. 0.084434 0.083608 17.0661 23.8898 2 2458214.8619792 667120359 -60.2559128685834 63.4443082800343 -1.05648127659784 1.05823853149757 -54.4385984088612 91.8875612567496 -0.596438133210756 1.1023300755914 0.139347427695146 18.976999912262 0.028999999165535 0.745999991893768 0.0329999998211861 2458173.748542 2458266.718287 0
 8 667 15 3 ZTF_r 463213795915 0 1.9967 168.699 7.72068 26.1101 9.7044e-06 0.0249605 0.104443 1.38064e-05 432 30. 0.059682 0.05132 20.2621 26.275 1 2458217.7137963 667120259 15.7855839374499 26.5185626453682 0.662163857384537 1.1514652482903 -22.733406016262 49.9464529019786 -0.458221064439981 1.03828568011845 0.141166208057232 19.3689998626709 0.0240000002086163 1.27100002765656 0.0260000005364418 2458154.777546 2458184.791562 0
