OVERVIEW,,,,,,,,v2 alerts,22,,,,,,
yellow means no detailed overview available in this google doc,,,,,,,,,,,,,,,
total number,,23,,,,,,,,,,,,,
Event,Class,RA,RA Unc (rectangle),Dec,Dec Unc (rectangle),Area (rectangle),Observed area (from Healpix),Observed area (corrected for chip gaps),Signalness,Energy estimate [TeV],Separation from gal. plane,IC GCN,ZTF ATEL/GCN,Additional ZTF GCN,Additional ZTF GCN
IC190503A,EHE,120.28,"[0.57, -0.77]",6.35,"[0.76, -0.7]",1.944283562,1.642523892,1.37,0.36,,18.38,https://gcn.gsfc.nasa.gov/gcn3/24378.gcn3,http://www.astronomerstelegram.org/?read=12730,,
IC190619A,GOLD,343.26,"[4.08, -2.63]",10.73,"[1.51, -2.61]",27.20999163,25.7328743,21.57,0.55,198.7,21.63,https://gcn.gsfc.nasa.gov/gcn3/24910.gcn3,http://www.astronomerstelegram.org/?read=12879,,
IC190730A,GOLD,225.79,"[1.28, -1.43]",10.47,"[1.14, -0.89]",5.407510527,4.960356583,4.52,0.67,298.81,54.83,https://gcn.gsfc.nasa.gov/gcn3/25225.gcn3,http://www.astronomerstelegram.org/?read=12974,,
IC190922B,GOLD,5.76,"[1.19, -1.37]",-1.57,"[0.93, -0.82]",4.47843396,4.114505956,4.09,0.51,187.37,-63.55,https://gcn.gsfc.nasa.gov/gcn3/25806.gcn3,https://gcn.gsfc.nasa.gov/gcn3/25824.gcn3,,
IC191001A,GOLD,314.08,"[6.56, -2.26]",12.94,"[1.5, -1.47]",25.52863382,28.65103073,23.06,0.59,217.42,-20.33,https://gcn.gsfc.nasa.gov/gcn3/25913.gcn3,https://gcn.gsfc.nasa.gov/gcn3/25929.gcn3,,
IC200107A,EXTRA,148.18,"[2.2, -1.83]",35.46,"[1.1, -1.22]",7.621118839,7.458566574,6.28,,,51.26,https://gcn.gsfc.nasa.gov/gcn3/26655.gcn3,https://gcn.gsfc.nasa.gov/gcn3/26667.gcn3,,
IC200109A,GOLD,164.49,"[4.94, -4.19]",11.87,"[1.16, -1.36]",22.52384976,25.01537338,22.36,0.77,375.23,59.33,https://gcn.gsfc.nasa.gov/gcn3/26696.gcn3,https://gcn.gsfc.nasa.gov/gcn3/26747.gcn3,,
IC200117A,BRONZE,116.24,"[0.71, -1.24]",29.14,"[0.9, -0.78]",2.859692725,2.65885604,2.66,0.38,108.39,23.7,https://gcn.gsfc.nasa.gov/gcn3/26802.gcn3,https://gcn.gsfc.nasa.gov/gcn3/26813.gcn3,https://gcn.gsfc.nasa.gov/gcn3/26816.gcn3,
IC200512A,BRONZE,295.18,"[1.72, -2.26]",15.79,"[1.26, -1.29]",9.766755235,9.340420294,9.26,0.32,108.77,-3.36,https://gcn.gsfc.nasa.gov/gcn3/27719.gcn3,https://gcn.gsfc.nasa.gov/gcn3/27721.gcn3,,
IC200530A,GOLD,255.37,"[2.48, -2.56]",26.61,"[2.33, -3.28]",25.38358759,24.50121441,22.05,0.59,82.186,34.86,https://gcn.gsfc.nasa.gov/gcn3/27865.gcn3,https://gcn.gsfc.nasa.gov/gcn3/27872.gcn3,https://gcn.gsfc.nasa.gov/gcn3/27910.gcn3,https://gcn.gsfc.nasa.gov/gcn3/27980.gcn3
IC200620A,BRONZE,162.11,"[0.64, -0.95]",11.95,"[0.63, -0.48]",1.726172427,1.599903511,1.24,0.32,113.5,57.43,https://gcn.gsfc.nasa.gov/gcn3/27997.gcn3,https://gcn.gsfc.nasa.gov/gcn3/28005.gcn3,,
IC200916A,BRONZE,109.78,"[1.08, -1.44]",14.36,"[0.88, -0.85]",4.223107814,3.953859907,3.61,0.32,110.48,12.53,https://gcn.gsfc.nasa.gov/gcn3/28433.gcn3,https://gcn.gsfc.nasa.gov/gcn3/28441.gcn3,https://gcn.gsfc.nasa.gov/gcn3/28465.gcn3,
