OVERVIEW NOT FOLLOWED UP,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,TOTAL,,,,,,v2 ALERTS (since 17/06/2019),,
Event,Class,RA,RA Unc (rectangle),Dec,Dec Unc (rectangle),Signalness,Energy estimate [TeV],Rejection reason,Code,,Rejection Summary,Counts,Percent,,,,Rejection Summary,Counts,Percent
IC160427A,HESE,240.57,"[0.6, -0.6]",9.34,"[0.6, -0.6]",,,Pre-ZTF,0,,Pre-ZTF (0),11.00,12.94%,,,,,,
IC160731A,HESE+EHE,214.5,"[0.75, -0.75]",-0.33,"[0.75, -0.75]",0.84879,,Pre-ZTF,0,,Alert retraction (1),12.00,14.12%,,,,,,
IC160806A,EHE,122.81,"[0.5, 0.5]",-0.81,"[0.5, -0.5] ",0.28016,,Pre-ZTF,0,,Proximity to sun (2),16.00,18.82%,,,,,,
IC160814A,HESE,200.3,"[2.43, -3.03]",-32.4,"[1.39, -1.21]",,,Pre-ZTF,0,,Telescope Maintenance (3),1.00,1.18%,,,,,,
IC161103A,HESE,40.83,"[1.10, -0.70]",12.56,"[1.10, -0.65]",,,Pre-ZTF,0,,Poor Signalness and Localization (4),14.00,16.47%,,,,,,
IC161210A,EHE,46.58,"[1.10, -1.00]",14.98,"[0.45, -0.40]",0.49023,,Pre-ZTF,0,,Southern Sky (5),3.00,3.53%,,,,,,
IC170312A,HESE,305.15,"[0.5, -0.5]",-26.61,"[0.5, -0.5]",,,Pre-ZTF,0,,Low Altitude (6),1.00,1.18%,,,,,,
IC170321A,EHE,98.3,"[1.2, -1.2]",-15.02,"[1.2, -1.2]",0.28016,,Pre-ZTF,0,,Bad Weather (7),0.00,0.00%,,,,,,
IC170506A,HESE,221.8,"[3.0, -3.0]",-26,"[2.0, -2.0]",,,Alert retraction,1,,Separation from galactic plane (8),4.00,4.71%,,,,,,
IC170922A,EHE,77.43,"[0.95, -0.65]",5.72,"[0.50, 0.30]",0.56507,,Pre-ZTF,0,,,,,,,,,,
IC171015A,HESE,162.86,"[2.60, -1.70]",-15.44,"[1.60, -2.00]",,,Pre-ZTF,0,,Total followed up:,23.00,27.06%,,,,,,
IC171028A,HESE,,,,,,,Alert retraction,1,,Total not followed up: ,62.00,72.94%,,,,,,
IC171106A,EHE,340,"[0.7, -0.5]",7.4,"[0.35, -0.25]",0.74593,,Pre-ZTF,0,,Total Neutrinos:,85.00,100.00%,,,,,,
IC180423A,HESE,,,,,,,Alert retraction,1,,,,,,,,Alert retraction (1),6.00,10.17%
IC180908A,EHE,144.58,"[1.55, -1.45]",-2.13,"[0.9, -1.2]",0.34364,,Proximity to sun,2,,,,,,,,Proximity to sun (2),13.00,22.03%
IC181014A,HESE,225.15,"[1.4, -2.85]",-34.8,"[1.15, -1.85]",,,Proximity to sun,2,,,,,,,,Telescope Maintenance (3),0.00,0.00%
IC181023A,EHE,270.18,"[2.0, -1.7]",-8.57,"[1.25, -1.3]",0.28016,,Telescope Maintenance,3,,,,,,,,Poor Signalness and Localization (4),13.00,22.03%
IC181031A,HESE,,,,,,,Alert retraction,1,,,,,,,,Southern Sky (5),0.00,0.00%
IC190104A,HESE,357.98,"[2.3, -2.1]",-26.65,"[2.2, -2.5]",,,Southern Sky,5,,,,,,,,,,
IC190124A,HESE,307.4,"[0.8, -0.9]",-32.18,"[0.7, -0.7]",,,Proximity to sun,2,,,,,,,,Low Altitude (6),1.00,1.69%
IC190205A,HESE,,,,,,,Alert retraction,1,,,,,,,,Bad Weather (7),0.00,0.00%
