date,jdobs,filter,absmag,magpsf,sigmamagpsf,limmag,instrument,programid,reducedby,refsys,issub,isdiffpos
"2019 Aug 08",2458703.9585,"r", 99.0, 99.0,99.0, 20.59,"P48+ZTF","1","None","None",True,True
"2019 Aug 11",2458706.9003,"r", 99.0, 99.0,99.0, 20.59,"P48+ZTF","1","None","None",True,True
"2019 Aug 11",2458706.9391,"g", 99.0, 99.0,99.0, 20.80,"P48+ZTF","1","None","None",True,True
"2019 Aug 14",2458709.8919,"r", 99.0, 99.0,99.0, 19.56,"P48+ZTF","1","None","None",True,True
"2019 Aug 14",2458709.9630,"g", 99.0, 99.0,99.0, 19.73,"P48+ZTF","1","None","None",True,True
"2019 Aug 17",2458712.9182,"r", 99.0, 99.0,99.0, 19.18,"P48+ZTF","1","None","None",True,True
"2019 Aug 21",2458716.9178,"r", 99.0, 99.0,99.0, 19.97,"P48+ZTF","1","None","None",True,True
"2019 Aug 24",2458719.8976,"r", 99.0, 99.0,99.0, 20.21,"P48+ZTF","1","None","None",True,True
"2019 Aug 24",2458719.9834,"g", 99.0, 99.0,99.0, 19.98,"P48+ZTF","1","None","None",True,True
"2019 Aug 27",2458722.9167,"g", 99.0, 99.0,99.0, 20.79,"P48+ZTF","1","None","None",True,True
"2019 Aug 30",2458725.8761,"g", 99.0, 99.0,99.0, 20.76,"P48+ZTF","1","None","None",True,True
"2019 Aug 30",2458725.9832,"r", 99.0, 99.0,99.0, 20.43,"P48+ZTF","1","None","None",True,True
"2019 Sep 04",2458730.9013,"r", -18.28, 20.72,0.28, 20.52,"P48+ZTF","1","None","None",True,True
"2019 Sep 04",2458730.9699,"g", -18.38, 20.62,0.31, 20.38,"P48+ZTF","1","None","None",True,True
"2019 Sep 07",2458733.8987,"r", -18.69, 20.31,0.17, 20.58,"P48+ZTF","1","None","None",True,True
"2019 Sep 07",2458733.8987,"r", -18.69, 20.31,0.17, 20.58,"P48+ZTF","1","None","None",True,True
"2019 Sep 07",2458733.9408,"g", -18.49, 20.51,0.26, 20.44,"P48+ZTF","1","None","None",True,True
"2019 Sep 10",2458736.8971,"r", -18.49, 20.51,0.30, 20.08,"P48+ZTF","1","None","None",True,True
"2019 Sep 13",2458739.8550,"r", 99.0, 99.0,99.0, 19.09,"P48+ZTF","1","None","None",True,True
"2019 Sep 17",2458743.8686,"r", 99.0, 99.0,99.0, 19.07,"P48+ZTF","1","None","None",True,True
"2019 Sep 17",2458743.8786,"g", 99.0, 99.0,99.0, 18.89,"P48+ZTF","1","None","None",True,True
"2019 Sep 20",2458746.8933,"g", 99.0, 99.0,99.0, 19.81,"P48+ZTF","1","None","None",True,True
"2019 Sep 22",2458748.8600,"r", 99.0, 99.0,99.0, 20.05,"P48+ZTF","2","None","None",True,True
"2019 Sep 23",2458749.7961,"r", -18.55, 20.46,0.26, 20.38,"P48+ZTF","1","None","None",True,True
"2019 Sep 23",2458749.8204,"g", 99.0, 99.0,99.0, 20.51,"P48+ZTF","1","None","None",True,True
"2019 Sep 23",2458749.8632,"r", -17.93, 21.07,0.15, 21.40,"P48+ZTF","2","None","None",True,True
